l1_name,brand_a,brand_b,distance,similarity,oh_a,oh_b,lwu_a,lwu_b,price_a,price_b
3120-PLUS SPORTSWEAR,FIGUEROA __IA_CHAR_13 FLOWER,RIO __IA_CHAR_13 RIAN,0.1501,0.8695,59,39,19,9,17.97,17.49
3110-MISSES SPORTSWEAR,ABOVE __IA_CHAR_13 BEYOND,HARLOW __IA_CHAR_13 ROSE,0.1502,0.8694,14,8,232,115,12.99,13.3
3110-MISSES SPORTSWEAR,KAKTUS,MARISSA OLIVIA,0.1514,0.8685,87,6,87,2,11.88,11.99
3145-SWIM,BEACH HOUSE,SHOW ME YOUR MUMU,0.1548,0.8659,70,59,26,4,28.62,28.93
3415-BOYS APPAREL,BILLABONG,FILA,0.1552,0.8657,61,66,6,36,12.41,12.74
3115-MISSES BETTER SPORTSWEAR,JASON WU,RAGA,0.1569,0.8644,87,42,26,27,18.95,19.57
3110-MISSES SPORTSWEAR,KISS __IA_CHAR_13 FLY,TEEZ-HER,0.157,0.8643,46,77,216,158,12.18,12.53
3140-LADIES SPORTS,AMERICAN OUTDOOR,APANA,0.158,0.8636,60,39,2,68,14.77,14.16
3430-CHILDRENS ACCESS,MINECRAFT,SONIC,0.158,0.8636,49,37,71,117,9.64,10.24
3135-DRESSES,ABSOLUTELY FAMOUS,ALLISON BRITTNEY,0.1582,0.8634,14,23,44,31,16.42,17.47
3140-LADIES SPORTS,ADIDAS,COURT HALEY,0.1583,0.8633,266,249,109,10,19.18,18.97
3115-MISSES BETTER SPORTSWEAR,INDUSTRY,NVLT,0.1598,0.8622,73,97,17,1,24.13,24.84
3150-LINGERIE,IZOD,STEVE MADDEN,0.1609,0.8614,87,106,628,691,17.65,17.13
3110-MISSES SPORTSWEAR,COCOMO,KAY UNGER,0.1614,0.8611,80,11,57,106,12.33,12.6
3110-MISSES SPORTSWEAR,NOTATIONS,SET THE STAGE,0.1635,0.8595,28,25,167,299,11.33,11.0
3160-ACCESSORIES,JESSICA SIMPSON,NOIR,0.1639,0.8592,102,102,45,67,9.06,9.5
3110-MISSES SPORTSWEAR,RAIN __IA_CHAR_13 ROSE,SEVEN7,0.1642,0.8589,56,149,13,89,14.48,14.56
3110-MISSES SPORTSWEAR,KAKTUS,KISS __IA_CHAR_13 FLY,0.1643,0.8589,87,46,87,216,11.88,12.18
3110-MISSES SPORTSWEAR,AEROSOLES,HARLOW __IA_CHAR_13 ROSE,0.1651,0.8583,63,8,286,115,13.46,13.3
3115-MISSES BETTER SPORTSWEAR,CECE,T. TAHARI,0.1653,0.8582,252,174,1,1,16.99,16.99
3430-CHILDRENS ACCESS,C__IA_CHAR_13C CALIFORNIA,JUICY COUTURE,0.1659,0.8577,27,52,203,83,7.21,7.24
3325-MENS OUTDOOR,HEYBO,LIFE IS GOOD,0.1661,0.8576,382,619,28,57,12.42,12.46
3510-LADIES FOOTWEAR,NATURALIZER,TOMMY HILFIGER,0.1695,0.8551,87,121,1,22,34.99,34.2
3410-GIRLS APPAREL,NANETTE LEPORE,YMI,0.1695,0.8551,46,73,44,2,10.69,10.53
3110-MISSES SPORTSWEAR,SEVEN7,UNIQUE SPECTRUM,0.1697,0.8549,149,50,89,100,14.56,14.43
3125-PETITES SPORTSWEAR,AVA AND GRACE,MAZE COLLECTION,0.1697,0.8549,59,17,198,182,12.11,12.4
3160-ACCESSORIES,ELLEN TRACY,STEVE MADDEN,0.1697,0.8549,21,19,23,37,9.0,8.46
3110-MISSES SPORTSWEAR,KISS __IA_CHAR_13 FLY,THOMAS __IA_CHAR_13 OLIVIA,0.1701,0.8547,46,44,216,90,12.18,11.82
3620-HOUSEWARES,FIT __IA_CHAR_13 FRESH,MEDICI,0.1705,0.8543,28,35,7,46,12.09,12.44
